FileNum,Mileage,Color,AcquistionCost,SalesPrice,SoldOn,MMRAvgValue,Year,MakeName,ModelName,StyleName,AddrZip,TagDisplayName
8528,75000,Brown,6000,5000,20-08-2014,7200,2008,Scion,xB,5dr Wgn Man,95051,NULL
8584,99812,Green,3000,4600,01-10-2014,3050,2003,Toyota,Sienna,5dr CE (Natl),92806,NULL
8585,174000,Gray,2200,3100,08-10-2014,3100,2001,Toyota,Sequoia,4dr SR5 (Natl),92806,NULL
8598,100000,Black,1000,2400,15-10-2014,2025,2002,Volkswagen,Passat,4dr Sdn GLS Auto,92806,NULL
8627,93665,Black,10600,13600,15-10-2014,11500,2007,Ford,F-150,"2WD SuperCrew 139 XLT""",92806,NULL
8626,9,Black,5250,5500,15-10-2014,NULL,2004,Toyota,4Runner,4dr Limited V6 Auto (Natl),92806,NULL
8617,160117,Silver,900,1450,15-10-2014,1175,1999,Toyota,Corolla,4dr Sdn CE Auto,92806,NULL
8599,134000,LightBlue,3250,3800,15-10-2014,3350,2005,Ford,Escape,"4dr 103 WB 3.0L XLT""",92806,NULL
8624,58311,Black,25300,25500,15-10-2014,25750,2012,Jeep,Grand Cherokee,RWD 4dr Overland,92806,NULL
8589,57234,White,6000,0,15-10-2014,NULL,2010,Nissan,Cube,5dr Wgn I4 Manual 1.8 S,92806,NULL
8616,41446,Brown,3000,3300,15-10-2014,3475,2005,Chrysler,PT Cruiser,4dr Wgn Limited,92806,NULL
8596,143073,Tan,7000,9300,15-10-2014,6050,2010,Toyota,Prius,5dr HB II (Natl),92806,NULL
8595,194026,Red,3750,4750,15-10-2014,NULL,2002,Toyota,Highlander,4dr V6 (Natl),92806,NULL
8593,107756,Black,3000,3700,08-10-2014,3525,1997,Lexus,SC 300 Luxury Sport Cpe,2dr Cpe Manual,92806,NULL
8647,222109,cbcefb,1000,800,22-10-2014,500,1998,Ford,Expedition,"119 WB XLT""",92806,NULL
8673,89967,Gold,8000,9000,22-10-2014,7600,2006,Nissan,Pathfinder,SE 2WD,92806,NULL
8590,60124,Black,4000,5600,22-10-2014,4875,2007,Hyundai,Elantra,4dr Sdn Auto GLS *Ltd Avail*,92806,NULL
8640,175782,Black,2500,3800,22-10-2014,3375,1998,Toyota,Tacoma,XtraCab Auto,92806,NULL
8660,105173,Black,2000,3800,22-10-2014,2625,2007,Chrysler,PT Cruiser,4dr Wgn Touring,92806,NULL
8646,147381,Silver,1000,1700,22-10-2014,1400,2000,Volkswagen,New Beetle,2dr Cpe GLX Turbo Manual,92806,NULL
8641,135805,DarkBlue,4000,5500,22-10-2014,4475,2006,Honda,Civic Hybrid,CVT,92806,NULL
8638,48000,White,10000,11250,22-10-2014,10600,2011,Chevrolet,Cruze,4dr Sdn LTZ,92806,NULL
8637,128000,Gray,4800,5800,22-10-2014,4725,2007,Toyota,Corolla,4dr Sdn Auto S (Natl),92806,NULL
8636,144000,DarkBlue,1500,2300,22-10-2014,2225,2005,Kia,Sorento,4dr LX Auto,92806,NULL
8635,253000,White,2300,3000,22-10-2014,2150,2003,Toyota,Matrix,5dr Wgn Std Manual (Natl),92806,NULL
8634,128667,Silver,3000,4400,22-10-2014,4400,2004,Mercedes-Benz,CLK-Class,2dr Coupe 3.2L,92806,NULL
8622,151626,White,1000,1700,22-10-2014,1775,2003,Ford,Mustang,2dr Cpe Standard,92806,NULL
8621,97357,Green,11500,0,22-10-2014,NULL,2008,Mercedes-Benz,C-Class,4dr Sdn 3.0L Sport RWD,92806,NULL
8618,50698,Silver,12500,12750,22-10-2014,9925,2008,Honda,Accord Sdn,4dr I4 Auto EX-L,92806,NULL
8615,36342,Maroon,10000,0,08-10-2014,NULL,2012,Kia,Optima,4dr Sdn 2.4L Auto LX,92806,NULL
